basic_info,edition,format,id,people,rate,role,title
,,DVD,B006NO1ST4,"Simon Keenlyside,Liudmyla Monastyrska,Phyllida Lloyd",Unrated,"(Actor), ,(Actor), ,(Director)",Verdi: Macbeth
,,DVD,B000SQFC0O,,Unrated,,Family Ties: Season 2
,,DVD,8024728060,"Emil Horváth,Magda Vašáryová,Karel Zeman",Unrated,"(Actor), ,(Actor), ,(Director)",Na komete (On a Comet)
,,DVD,B0030VBGIQ,"Bela Lugosi,John Carradine,William Beaudine",NR,"(Actor), ,(Actor), ,(Director)",Rifftrax: Voodoo Man - from the stars of Mystery Science Theater 3000!
,,DVD,B00EZ4DWZW,"Jasmine Waltz,Michael Placenia,Rob Walker",Unrated,"(Actor), ,(Actor), ,(Director)",Demon
,,Blu-ray,B00N1JQ2SG,"Al Pacino,Greta Gerwig,Barry Levinson",R,"(Actor), ,(Actor), ,(Director)",Humbling
,,DVD,B000QJMCRO,"When They Cry,Chiaki Kon",Unrated,"(Actor), ,(Director)","When They Cry, Vol. 2"
,,DVD,B000K2JU36,"Constance Bennett,Brian Aherne,Norman Z. McLeod",NR,"(Actor), ,(Actor), ,(Director)",Merrily We Live
,,DVD,B007JQY9G4,"Red Paden,Unknown",NR,"(Actor), ,(Director)",We Juke Up In Here: Mississippi's Juke Joint Culture At The Crossroads
,,DVD,B00004Y6A5,"Michael Garfield,Kim Terry,Juan Piquer Simón",R,"(Actor), ,(Actor), ,(Director, Producer, Writer)",Slugs
,,DVD,B00404ME0G,"Stephen Sondheim,Bernadette Peters,Lonny Price",NR,"(Actor), ,(Actor), ,(Director)",Sondheim: The Birthday Concert
,Ultimate Special Edition,DVD,B000F0UUI2,"John Wayne,Thomas Mitchell,John Ford,Nick Redman",NR,"(Actor), ,(Actor), ,(Director), ,(Director)",John Wayne-John Ford Film Collection: (The Searchers / Stagecoach / Fort Apache / She Wore a Yellow Ribbon / The Long Voyage Home / and more)
,,,6301063058,"David Keith,Cathy Moriarty,Donald Cammell",R,"(Actor), ,(Actor), ,(Director)",White of the Eye VHS
,,DVD,B005MYEPX2,"Tracy Pollan,Stephen Amell,Stephen Kay",NR,"(Actor), ,(Actor), ,(Director)",Justice for Natalee Holloway
,,DVD,B0050QNO7K,"Christopher Hatfield,Mark Keyes",PG,"(Actor), ,(Actor)",The Haunted
,,VHS Tape,B000053V8F,"William Hurt,Alec Newman",Unrated,"(Actor), ,(Actor)",Frank Herbert's Dune TV Miniseries VHS
,,DVD,B0001NBMEY,"Patrick Bergin,Uma Thurman,John Irvin",NR,"(Actor), ,(Actor), ,(Director)",Robin Hood
,,DVD,B004VW4VAI,"Various,-",G,"(Actor), ,(Director)",Groovie Goolies
,,DVD,B009AMANTW,"James Buckley,Blake Harrison,Ben Palmer",,"(Actor), ,(Actor), ,(Director)",The Inbetweeners
